&IN
 ETA= 0.83999999999999997     ,
 XI0= 0.12110000000000000     ,
 BETA=  4.8399999999999999     ,
 P=-0.29999999999999999     ,
 K0=  3.8399999999999999     ,
 KF=  1.0000000000000000     ,
 L0=  8.0000000000000000     ,
 LF=  30.000000000000000     ,
 LM=  20.000000000000000     ,
 LW=  5.0000000000000000     ,
 T0=  125.59999999999999     ,
 TF=  257.00000000000000     ,
 VS=  2.4529999999999998     ,
 NMAX=10000      ,
 /
  0.83999999999999997     
  0.12110000000000000     
   4.8399999999999999     
 -0.29999999999999999     
   3.8399999999999999     
   1.0000000000000000     
   8.0000000000000000     
   30.000000000000000     
   20.000000000000000     
   5.0000000000000000     
   125.59999999999999     
   257.00000000000000     
   2.4529999999999998     
       10000
   2.2000000000000001E-003

L                        T                        Ta                       v                        
    0.82904000000000E+01     0.13684702681384E+03     0.11334959374924E+03     0.27686269700633E+01     0.38386845146198E+01
    0.82926000000000E+01     0.13692445761002E+03     0.11326407753467E+03     0.27772224109985E+01     0.38386815856373E+01
    0.82948000000000E+01     0.13700177823265E+03     0.11317880568909E+03     0.27858428118248E+01     0.38386786506134E+01
    0.82970000000000E+01     0.13707898882485E+03     0.11309349728702E+03     0.27944882396916E+01     0.38386757095367E+01
    0.82992000000000E+01     0.13715608952955E+03     0.11300843321376E+03     0.28031587619139E+01     0.38386727623960E+01
    0.83014000000000E+01     0.13723308048944E+03     0.11292333206336E+03     0.28118544459711E+01     0.38386698091799E+01
    0.83036000000000E+01     0.13730996184701E+03     0.11283847520280E+03     0.28205753595100E+01     0.38386668498769E+01
    0.83058000000000E+01     0.13738673374455E+03     0.11275358074508E+03     0.28293215703420E+01     0.38386638844758E+01
    0.83080000000000E+01     0.13746339632412E+03     0.11266893053942E+03     0.28380931464447E+01     0.38386609129650E+01
    0.83102000000000E+01     0.13753994972758E+03     0.11258424221724E+03     0.28468901559626E+01     0.38386579353332E+01
    0.83124000000000E+01     0.13761639409659E+03     0.11249979811057E+03     0.28557126672079E+01     0.38386549515689E+01
    0.83146000000000E+01     0.13769272957258E+03     0.11241531536863E+03     0.28645607486588E+01     0.38386519616607E+01
    0.83168000000000E+01     0.13776895629679E+03     0.11233107680683E+03     0.28734344689649E+01     0.38386489655970E+01
    0.83190000000000E+01     0.13784507441023E+03     0.11224679909165E+03     0.28823338969374E+01     0.38386459633663E+01
    0.83212000000000E+01     0.13792108405372E+03     0.11216276552247E+03     0.28912591015626E+01     0.38386429549570E+01
    0.83234000000000E+01     0.13799698536788E+03     0.11207869228241E+03     0.29002101519926E+01     0.38386399403578E+01
    0.83256000000000E+01     0.13807277849308E+03     0.11199486315539E+03     0.29091871175486E+01     0.38386369195569E+01
    0.83278000000000E+01     0.13814846356954E+03     0.11191099384063E+03     0.29181900677220E+01     0.38386338925428E+01
    0.83300000000000E+01     0.13822404073723E+03     0.11182736860713E+03     0.29272190721752E+01     0.38386308593040E+01
    0.83322000000000E+01     0.13829951013593E+03     0.11174370266965E+03     0.29362742007382E+01     0.38386278198286E+01
    0.83344000000000E+01     0.13837487190521E+03     0.11166028078285E+03     0.29453555234147E+01     0.38386247741052E+01
    0.83366000000000E+01     0.13845012618444E+03     0.11157681767645E+03     0.29544631103767E+01     0.38386217221221E+01
    0.83388000000000E+01     0.13852527311278E+03     0.11149359859133E+03     0.29635970319713E+01     0.38386186638676E+01
    0.83410000000000E+01     0.13860031282918E+03     0.11141033777159E+03     0.29727573587135E+01     0.38386155993299E+01
    0.83432000000000E+01     0.13867524547239E+03     0.11132732094491E+03     0.29819441612935E+01     0.38386125284974E+01
    0.83454000000000E+01     0.13875007118096E+03     0.11124426186921E+03     0.29911575105736E+01     0.38386094513583E+01
    0.83476000000000E+01     0.13882479009323E+03     0.11116144675954E+03     0.30003974775860E+01     0.38386063679009E+01
    0.83498000000000E+01     0.13889940234734E+03     0.11107858888705E+03     0.30096641335398E+01     0.38386032781134E+01
    0.83520000000000E+01     0.13897390808122E+03     0.11099597495473E+03     0.30189575498185E+01     0.38386001819839E+01
    0.83542000000000E+01     0.13904830743261E+03     0.11091331774638E+03     0.30282777979751E+01     0.38385970795008E+01
    0.83564000000000E+01     0.13912260053903E+03     0.11083090445351E+03     0.30376249497406E+01     0.38385939706521E+01
    0.83586000000000E+01     0.13919678753781E+03     0.11074844737202E+03     0.30469990770213E+01     0.38385908554259E+01
    0.83608000000000E+01     0.13927086856607E+03     0.11066623418249E+03     0.30564002518952E+01     0.38385877338105E+01
    0.83630000000000E+01     0.13934484376074E+03     0.11058397669234E+03     0.30658285466211E+01     0.38385846057939E+01
    0.83652000000000E+01     0.13941871325854E+03     0.11050196307179E+03     0.30752840336279E+01     0.38385814713642E+01
    0.83674000000000E+01     0.13949247719598E+03     0.11041990463920E+03     0.30847667855264E+01     0.38385783305095E+01
    0.83696000000000E+01     0.13956613570938E+03     0.11033809005503E+03     0.30942768750990E+01     0.38385751832178E+01
    0.83718000000000E+01     0.13963968893488E+03     0.11025623014799E+03     0.31038143753094E+01     0.38385720294771E+01
    0.83740000000000E+01     0.13971313700837E+03     0.11017461406933E+03     0.31133793592968E+01     0.38385688692755E+01
    0.83762000000000E+01     0.13978648006559E+03     0.11009295215756E+03     0.31229719003783E+01     0.38385657026010E+01
    0.83784000000000E+01     0.13985971824205E+03     0.11001153405531E+03     0.31325920720512E+01     0.38385625294415E+01
    0.83806000000000E+01     0.13993285167308E+03     0.10993006961028E+03     0.31422399479871E+01     0.38385593497850E+01
    0.83828000000000E+01     0.14000588049380E+03     0.10984884895704E+03     0.31519156020426E+01     0.38385561636193E+01
    0.83850000000000E+01     0.14007880483912E+03     0.10976758145195E+03     0.31616191082486E+01     0.38385529709325E+01
    0.83872000000000E+01     0.14015162484378E+03     0.10968655772208E+03     0.31713505408172E+01     0.38385497717124E+01
    0.83894000000000E+01     0.14022434064231E+03     0.10960548663184E+03     0.31811099741425E+01     0.38385465659469E+01
    0.83916000000000E+01     0.14029695236904E+03     0.10952465930139E+03     0.31908974827986E+01     0.38385433536238E+01
    0.83938000000000E+01     0.14036946015809E+03     0.10944378410264E+03     0.32007131415380E+01     0.38385401347309E+01
    0.83960000000000E+01     0.14044186414341E+03     0.10936315264940E+03     0.32105570252974E+01     0.38385369092561E+01
    0.83982000000000E+01     0.14051416445874E+03     0.10928247282048E+03     0.32204292091953E+01     0.38385336771873E+01
    0.84004000000000E+01     0.14058636123763E+03     0.10920203672394E+03     0.32303297685305E+01     0.38385304385120E+01
    0.84026000000000E+01     0.14065845461342E+03     0.10912155174491E+03     0.32402587787852E+01     0.38385271932181E+01
    0.84048000000000E+01     0.14073044471927E+03     0.10904131048626E+03     0.32502163156241E+01     0.38385239412934E+01
    0.84070000000000E+01     0.14080233168814E+03     0.10896101983887E+03     0.32602024548976E+01     0.38385206827255E+01
    0.84092000000000E+01     0.14087411565279E+03     0.10888097290099E+03     0.32702172726351E+01     0.38385174175022E+01
    0.84114000000000E+01     0.14094579674579E+03     0.10880087606868E+03     0.32802608450556E+01     0.38385141456110E+01
    0.84136000000000E+01     0.14101737509952E+03     0.10872102293615E+03     0.32903332485583E+01     0.38385108670397E+01
    0.84158000000000E+01     0.14108885084616E+03     0.10864111940404E+03     0.33004345597295E+01     0.38385075817759E+01
    0.84180000000000E+01     0.14116022411770E+03     0.10856145956311E+03     0.33105648553411E+01     0.38385042898073E+01
    0.84202000000000E+01     0.14123149504594E+03     0.10848174881801E+03     0.33207242123473E+01     0.38385009911213E+01
    0.84224000000000E+01     0.14130266376248E+03     0.10840228175661E+03     0.33309127078940E+01     0.38384976857056E+01
    0.84246000000000E+01     0.14137373039873E+03     0.10832276328700E+03     0.33411304193085E+01     0.38384943735477E+01
    0.84268000000000E+01     0.14144469508591E+03     0.10824348849474E+03     0.33513774241073E+01     0.38384910546352E+01
    0.84290000000000E+01     0.14151555795505E+03     0.10816416179077E+03     0.33616537999951E+01     0.38384877289556E+01
    0.84312000000000E+01     0.14158631913698E+03     0.10808507875891E+03     0.33719596248615E+01     0.38384843964963E+01
    0.84334000000000E+01     0.14165697876236E+03     0.10800594331237E+03     0.33822949767866E+01     0.38384810572448E+01
    0.84356000000000E+01     0.14172753696162E+03     0.10792705153384E+03     0.33926599340386E+01     0.38384777111887E+01
    0.84378000000000E+01     0.14179799386505E+03     0.10784810683820E+03     0.34030545750735E+01     0.38384743583153E+01
    0.84400000000000E+01     0.14186834960270E+03     0.10776940580756E+03     0.34134789785372E+01     0.38384709986120E+01
    0.84422000000000E+01     0.14193860430447E+03     0.10769065135792E+03     0.34239332232654E+01     0.38384676320662E+01
    0.84444000000000E+01     0.14200875810005E+03     0.10761214057140E+03     0.34344173882849E+01     0.38384642586653E+01
    0.84466000000000E+01     0.14207881111894E+03     0.10753357586451E+03     0.34449315528112E+01     0.38384608783967E+01
    0.84488000000000E+01     0.14214876349047E+03     0.10745525481996E+03     0.34554757962508E+01     0.38384574912477E+01
    0.84510000000000E+01     0.14221861534375E+03     0.10737687935420E+03     0.34660501982041E+01     0.38384540972055E+01
    0.84532000000000E+01     0.14228836680773E+03     0.10729874755111E+03     0.34766548384594E+01     0.38384506962575E+01
    0.84554000000000E+01     0.14235801801116E+03     0.10722056082650E+03     0.34872897970011E+01     0.38384472883909E+01
    0.84576000000000E+01     0.14242756908260E+03     0.10714261776598E+03     0.34979551540027E+01     0.38384438735931E+01
    0.84598000000000E+01     0.14249702015044E+03     0.10706461928415E+03     0.35086509898332E+01     0.38384404518511E+01
    0.84620000000000E+01     0.14256637134286E+03     0.10698686446893E+03     0.35193773850539E+01     0.38384370231523E+01
    0.84642000000000E+01     0.14263562278786E+03     0.10690905373313E+03     0.35301344204195E+01     0.38384335874838E+01
